textid|text|obscurity|density|lengthr
1526|The early "Dudel-Sack" gave rise to a number of European, Asian and African folk bagpipes, namely, the Volynka (U.S.S.R.), the Bock (German), the Zukra (North Africa), the Gaita (Portugal and Spain), the Zampogna (Italy), the Cornemuse (France), the Moshug (India), the Zumarah (Egypt), and Flemish, Polish, Greek and Hungarian examples.|10.135373|13.420926|5.65965
2188|The bands of light twisted together to form a comet tail. And then Luma emerged, reborn as a comet. The girl could scarcely believe her eyes. "But... how?" she kept asking. "Our destiny as Lumas is to transform into different things," said a red Luma who had suddenly appeared. "Stars, comets, planets... We can become all of these things!" "When I grow up, I want to become a star that makes someone special smile," said a green Luma. A blue Luma chimed in, "That Luma turned into a real cutie of a comet, didn't he!"|6.765335|8.44154|6.863737
1427|Good morning, Agent P. Dr. Doofenshmirtz is on the move. We tracked him to these coordinates when we suddenly lost his signal. We have two scenarios to explain his disappearance. First, that magical elves have caused Dr. Doofenshmirtz to vanish to the land of angry corn people. The second is that he may be on this secret hideout-shaped island with the initial "D" carved into it, that satellites found at the exact... spot... where... he... vanished... uh. You know what, uh, forget the magical elves thing, way off base with that. Anyway, on your way, Agent P.|8.220608|6.433806|7.0505724
2252|During an SCP-001 event, flowers are observed to spontaneously appear and bloom over 90% of the viable land surface of the planet. These flowers are universally referred to as "vibrant", "bright", "beautiful", and/or words to this effect. The weather will clear, globally, with an ambient temperature recognised as comfortable by the majority of the populace. The global populace will become aware of the fate of the Earth, and of its inevitability. They will also experience heavily decreased levels of violence. SCP-001 will occur exactly 24 hours before the death of all life on the planet.|6.6685333|7.6140146|7.157732
1523|From lowly Neanderthal and Cro-Magnon, to early warriors and medieval knights. All leading up to lunkhead basketball man. Yes, our culture worshiped the aggressor throughout the ages and we end up with spoiled, overpaid, bonehead athletes who contribute little to civilization other than slam dunks and touchdowns. That is the inevitable world of Troy Bolton. But the path of the mind, the path we're on, ours is the path that has brought us to these people: Eleanor Roosevelt, Frida Kahlo, Sandra Day O'Connor, Madame Curie, Jane Goodall, Oprah Winfrey, and so many others who the world reveres.|8.509239|5.511577|7.167759
86|Life is a series of decisions. Whether you make the correct decisions or not doesn't matter. The important thing is to keep going forward. Years later, when you look back, perhaps you'll find that the incorrect decisions you made... weren't really incorrect. Similarly, the correct decisions... might not necessarily have been correct. Why struggle with frustration? Why proceed with confusion? In all things... resolution only comes from continuing to move forward. Following this line of reasoning, if there is no such thing as "incorrect," then how can the "correct" exist? Similarly, if there is no "correct," then how can the "incorrect" exist?|6.4513474|7.0567646|7.3264613
210|Oh, I'm a goofy goober, yeah! You're a goofy goober, yeah! We're all goofy goobers, yeah! Goofy, goofy, goober, goober, YEAH!|13.434161|7.82249|2.5445833
88|In the Cote Chalonnaise and the Maconnais to the south, plantings overtook those of Gamay in the 1980s so that there were 4,500 hectares by 1988 and 6,200 hectares by 2000. From the Cote Chalonnaise, the whites of Rully, Mercurey, and Montagny can offer economical, if slightly rustic, versions of the grander names of the Cote d'Or.|8.955959|7.0478354|5.6219788
2380|"Send me your hungry, old Earth. Here's Sam Parkhill, his hot dogs all boiled, his chili cooking, everything neat as a pin. Come on, you Earth, send me your rocket!" "It sure makes you humble," he said among the cooking odors of wieners, warm buns, rich butter. "Step up," he invited the various stars in the sky. "Who'll be the first to buy?"|6.9333496|8.750434|5.71504
2365|What's your Wi-Fi password here? "There is no password." Oh cool, so - "All one word." Wait - "With underscores between each word."|8.671627|11.766086|2.6736994
112|Atticus said to Jem one day, "I'd rather you shot at tin cans in the backyard, but I know you'll go after birds. Shoot all the blue jays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird." That was the only time I ever heard Atticus say it was a sin to do something, and I asked Miss Maudie about it. "Your father's right," she said. "Mockingbirds don't do one thing except make music for us to enjoy. They don't eat up people's gardens, don't nest in corn cribs, they don't do one thing but sing their hearts out for us. That's why it's a sin to kill a mockingbird."|6.46459|6.613952|7.157732
394|You teach me and I'll teach you, Po-ke-mon! Gotta catch 'em all! Gotta catch 'em all! Every challenge along the way, with courage I will face! I will battle every day, to claim my rightful place! Come with me, the time is right, there's no better team! Arm in arm, we'll win the fight, it's always been our dream! Pokemon! Gotta catch 'em all! It's you and me, I know it's my destiny! Pokemon! Oh, you're my best friend, in a world we must defend! Pokemon! Gotta catch 'em all!|7.067871|6.4637604|6.661677
2182|Suddenly, more Lumas began to pop out from the apricot planet. They were different colors, but they all shouted the same thing. "My mama!" "My mama!" The sight of all the shouting Lumas only made the girl laugh harder. "What am I going to do with all these children?" The Lumas just stared blankly as she doubled over laughing. "I guess we'll have to name each and every one of you."|5.9915504|8.396958|6.052264
2137|My instinct was to say, with contrition: "I'm sorry, sir, I'm not prepared" - a considerable indignity - but in a rare moment of inspiration I decided to concoct a bluff, however lame. Said I: "Well, sir, this case was obviously meant to get us to... but I didn't do any of that. The case said that XYZ Company was in a very competitive industry... there would be no point in charging less than everyone else either. So I figured they should just keep charging what everybody else was charging, and I didn't do any calculations." Ahem. The professor blew his stack.|6.1372604|6.6278787|7.0581226
2379|"Come on," he said. "We've got to get the place fixed! All the hot dogs boiling, the buns warm, the chili cooking, the onions peeled and diced, the relish laid out, the napkins in the dips, the place spotless! Hey!" He did a little wild dance, kicking his heels. "Oh boy, I'm happy; yes sir, I'm happy," he sang off key. "This is my lucky day!"|6.022709|8.853157|5.724144
2298|The sky - the genuine sky, not an artificial one - is falling, stopping, falling again, as if grand pieces of a celestial puzzle are being moved and switched by some befuddled god. And... watching it... her smile begins to gradually recede. The look in her eyes grows colder, her breathing slows, and the faint glimmer of excitement provided by this cataclysmic view is snuffed out, replaced with objectivity. Her opinion on the disaster destroying all is delivered in a single word. With a little appreciation, in a mostly hollow tone, she says, "Delightful." As if the word has any meaning. As if the fall has any meaning. As if the world has any meaning.|6.907751|5.3288565|7.347632
1437|Felony tax evasion. Yeah... $200 a day, 365 days a year since you were 12. So that's two decades, so times 20, which is $1,460,000, I think. I mean, I am just a dumb bunny, but we are good at multiplying. Anyway, according to your tax forms, you reported, let me see here... zero! Unfortunately, lying on a federal form is a punishable offense. Five years jail time.|6.9232063|7.6140637|5.915494
1881|And lo, Zargothrax was finally defeated. But in the epic final struggle with the dark sorcerer, the valiant hero Angus McFife realised he had been impaled by the Knife of Evil. As he watched the lifeless corpse of Zargothrax dissolve into liquid dust, Angus knew that soon he himself would be corrupted by the dark power of that cursed blade. And so he resolved that he must make the final sacrifice for the Glory of Dundee. He would end his own life by descending into the raging volcanic fires of Schiehallion!|8.106106|4.8038645|6.8361926
2285|I've been reading books of old - the legends and the myths: Achilles and his gold, Hercules and his gifts, Spiderman's control, and Batman with his fists; and clearly, I don't see myself upon that list. But she said, "where'd you wanna go? How much you wanna risk? I'm not looking for somebody with some superhuman gifts: some superhero, some fairytale bliss. Just something I can turn to - somebody I can kiss. I want something just like this."|7.2074738|6.128674|6.479313
2086|The QWERTY layout was created around the 1870s when typing was done on typewriters: that old, mechanical device that had a keyboard and directly printed letters onto a piece of paper using ink. The exact reasons for this design are still unclear - many people say the letters are laid out to make the most common keys harder to reach, therefore reducing the risk of jams - others believe the layout was a result of advice given by morse code telegraph operators. Regardless, the QWERTY layout was designed to solve a problem that no longer exists - so the question remains: why do we still use it?|6.975544|5.2194343|7.1710744
2069|Let me explain... You've heard of wishing upon a shooting star? At the "Star Road", your wish is transformed into a star. When it's granted, it then turns into a shooting star and falls down to earth. So you see, the Star Road plays an integral role in granting wishes. But ever since a sword destroyed the "Star Road", everything's come to a halt. No stars have been made since. The way things stand, yours is a world where wishes can't come true anymore.|6.2636757|6.905515|6.544645
2216|If I had a diamond heart - oh-oh - I'd give you all my love if I was unbreakable. If I had a diamond heart - oh-oh - you could shoot me with a gun of gold. And if I was unbreakable, I'd walk straight through the bullet, bendin' like a tulip, blue-eyed and foolish - never mind the bruises - into the fire, breakin' through the wires; and give you all I've got. (If I had a diamond heart,) I'd walk straight through the dagger; never break the pattern: diamonds don't shatter, beautiful and battered; into the poison, cry you an ocean, and give you all I've got.|5.8082027|6.4674454|7.042962
1998|"Alfred Simmonds, Horse Slaughterer and Glue Boiler, Willingdon. Dealer in Hides and Bonemeal. Kennels Supplied." Do you not understand what that means? They are taking Boxer to the knacker's!|9.084493|8.4362755|3.8248777
1416|Ah, there you are, Agent P. We suspect your nemesis, Dr. Doofenshmirtz, has been pilfering bricks from buildings across the Tri-State Area. Animals are rioting, convicts are escaping from the zoo! It's chaos! You've got to stop him, Perry, before it all falls down.|9.503693|6.3324924|4.880334
